Altitude Temperature "Sunshine hours"
205 9.7 1552
46 8.2 1443.3
794 6.4 1096.5
325 8.1 1571.7
500 6.2 1368
215 9.4 1594
383 7.8 1590.5
54 8.3 1702.3
630 6.6 1432.6
413 8.3 1627
481 7.5 1642.1
42 7.9 1805.3
242 8.4 1432.1
164 8.5 1459.1
462 8 1691.8
560 7.6 1651.2
4 8.4 1455.5
622 7.2 1304.9
239 8.5 1563.3
40 8.6 1326
330 7.7 1491.6
789 6.6 1390.7
450 8 1527.8
40 8.8 1479
252 9.8 1668.4
445 7 1277.2
60 8.8 1594.8
58 8.9 1624.9
36 9.3 1623.2
49 9.4 1673.5
84 9.2 1498.6
120 10.1 1358.5
363 8.8 1688.9
290 7.7 1412.9
412 7.5 1518.8
80 10 1483.6
21 9.4 1514.6
45 8.3 1615.3
15 8.4 1693.5
62 10.2 1461.3
875 6.8 1503.5
5 9.1 1661.5
373 8.3 1639.5
1 8.8 1426.5
9 8.1 1472.3
607 5.9 1474.2
88 8.8 1514.3
5 8.8 1482.9
7 9 1480.2
1142 2.9 1353.1
549 7.8 1633.3
310 7.8 1492.1
340 8.1 1596.3
77 7.8 1420.6
68 9.2 1391.5
39 8.9 1470.6
396 7.9 1660.4
418 7.9 1532.6
566 6.2 1337.9
69 8.9 1679
5 8.9 1635.8
133 10 1685.8
480 7.9 1633.6
696 7.4 1540.9
97 8.5 1626
677 7 1697
227 8.9 1581.4
192 8.3 1358.8
692 6.9 1641.9
37 10.3 1504.1
37 10.3 1473.4
123 8.8 1317.5
146 8.5 1504
460 7.7 1393.4
85 9.8 1495.7
12 9.1 1547.4
0 8.8 1512
144 8.6 1367.1
705 6.8 1671.8
600 6.8 1410.4
443.6 7.8 1659.9
18 8.3 1585.4
316 7.9 1588.3
408 8.8 1554.8
270 8.6 1548.5
234 10.1 1668.2
150 9.6 1453.7
1486 3.3 1641.2
1213 2.9 1515.6
45 8.2 1482.9
112 9.7 1586.1
125 9.7 1515.3
48 8.7 1689.1
481 9.1 1731.1
2 8.4 1241.5
797 6.6 1721.4
928 5.9 1615.4
523 6.7 1521.5
394 9.1 1691
8 8.7 1247.5
255 8 1368
47 8.5 1517.1
719 6.5 1668.2
118 9.9 1587
35 8.6 1618.7
311 7.8 1601.9
90 10 1534.1
186 9.1 1504.2
2 8.5 1564.3
238 8.2 1649.1
173 8.7 1421.8
58 8.1 1610.7
27 8.3 1595.8
6 8.1 1739
40 7.8 1606.6
42 8.7 1435.4
1436 2.7 1676.8
55 7.9 1704
300 7.4 1291.4
567 6.1 1328.9
93 9.1 1403.7
11 8.6 1557
22 9.4 1486.8
18 9 1454
59 8.9 1501.4
269 8.5 1358.8
404 6.8 1510.3
111 10.6 1550.9
500 6.8 1355.6
496 7.7 1394.7
4 9.1 1682.8
140 8.9 1372.6
2 8.2 1540
77 9.3 1471.1
350 8.5 1313.3
530 6.9 1428.9
272 8.7 1385.4
1053 5.9 1603.7
883 5.6 1601.7
1008 6.1 1765.3
567 6.4 1541.8
242 7.7 1254
977 6.5 1820.3
17 8 1573.8
128 8.9 1273.2
440 6.9 1335.1
1125 4.8 1583.8
438 7.6 1734.6
3 8.2 1499
37 7.8 1505.1
712 6.8 1667.4
155 9.3 1427.2
7 8.6 1506.3
91 9.6 1464.7
75 8.7 1672.8
839 4.9 1353.5
270 9.4 1403.2
505 7.3 1527.8
487 6.7 1520.4
374 7.8 1505.8
112 10.3 1691.4
231 8.5 1448.3
585 7.4 1583.3
705 6.9 1755
27 8.5 1626.5
4 8.3 1635
282 8.6 1452
805 5.6 1461.3
46 9.6 1445
973 6.2 1857.5
92 9.6 1504.2
754 6.6 1628.6
417 7.8 1620
850 6.9 1683.9
443 9.2 1640.2
776 6.5 1362.8
102 9.5 1512.3
520 7.7 1562
436 8.1 1703.5
747 6.7 1627.6
5 8.7 1543
119 8.9 1346.3
300 7.5 1337.4
344.5 8.1 1574.8
7 7.9 1549.9
9 8.2 1625.4
365 7.8 1659.9
356 7.5 1528.9
138 9.1 1465.8
141 8.8 1502.4
758 7.2 1700.4
818 6.1 1612.7
44 10.8 1426.8
284 8.9 1375.8
185 9.3 1428.1
98 8.6 1664.8
341 9.4 1590.9
22 9.4 1460.2
157 8.9 1445.8
